"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"93",2018,30,30,"Mike Hughes","Vikings","DB","Central Florida","UCF","http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png"
"94",2018,31,31,"Sony Michel","Patriots","RB","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"95",2018,32,32,"Lamar Jackson","Ravens","QB","Louisville","Louisville","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png"
"96",2019,1,1,"Kyler Murray","Cardinals","QB","Oklahoma","Oklahoma","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png"
"97",2019,2,2,"Nick Bosa","49ers","DE","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"98",2019,3,3,"Quinnen Williams","Jets","DT","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"99",2019,4,4,"Clelin Ferrell","Raiders","DE","Clemson","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"100",2019,5,5,"Devin White","Buccaneers","LB","Louisiana State","LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png"
"101",2019,6,6,"Daniel Jones","Giants","QB","Duke","Duke","http://a.espncdn.com/i/teamlogos/ncaa/500/150.png"
"102",2019,7,7,"Josh Allen","Jaguars","LB","Kentucky","Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png"
"103",2019,8,8,"T.J. Hockenson","Lions","TE","Iowa","Iowa","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png"
"104",2019,9,9,"Ed Oliver","Bills","DT","Houston","Houston","http://a.espncdn.com/i/teamlogos/ncaa/500/248.png"
"105",2019,10,10,"Devin Bush","Steelers","LB","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"106",2019,11,11,"Jonah Williams","Bengals","T","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"107",2019,12,12,"Rashan Gary","Packers","DE","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
