#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
351,Angel Ortiz,NCAT,,44.2,6.85,3.83,1.79,0.81,15.10%,8.40%,6.70%,0.305,1.79,0.352,59.70%,5.84,5.69,0.15
352,Tripp Patterson,UNA,,76,5.33,2.84,1.88,1.42,13.00%,6.90%,6.10%,0.31,1.61,0.332,59.70%,6.51,6.36,0.15
353,Derek Arrocha,JKST,22,80,8.89,3.83,2.32,0.45,21.20%,9.10%,12.10%,0.288,1.61,0.368,59.70%,5.74,5.59,0.15
354,Luca Alagheband,HARV,20,45.2,8.47,3.74,2.26,0.79,20.40%,9.00%,11.40%,0.222,1.27,0.271,57.00%,5.72,5.57,0.15
355,Kyle Calzadiaz,SJSU,,45.1,11.12,7.15,1.56,0.4,26.20%,16.80%,9.30%,0.229,1.65,0.33,63.60%,6.15,6.01,0.15
356,Smith Bailey,ARIZ,20,61.2,9.49,3.36,2.83,0.88,24.00%,8.50%,15.50%,0.254,1.38,0.324,67.00%,4.67,4.53,0.14
357,Sawyer Pruitt,UL,,63.2,9.75,3.96,2.46,0.71,24.20%,9.80%,14.40%,0.258,1.46,0.337,69.20%,4.66,4.52,0.14
358,Ben Waterman,LAF,21,42.2,6.96,5.7,1.22,1.27,16.10%,13.20%,2.90%,0.228,1.52,0.25,53.30%,7.38,7.24,0.14
359,Logan Reddemann,UCLA,21,59.2,12.67,1.66,7.64,0.75,35.70%,4.70%,31.10%,0.212,0.97,0.316,77.40%,2.87,2.73,0.14
360,Hayden ODell,USA,,46.1,8.55,3.88,2.2,0.39,21.30%,9.70%,11.60%,0.262,1.47,0.336,70.80%,4.47,4.33,0.14
361,Tyler Lutz,JMU,,57.2,6.71,2.18,3.07,0.94,14.90%,4.90%,10.10%,0.25,1.4,0.279,63.60%,5.15,5.02,0.13
362,Michael Tight,COR,,29.2,6.67,4.25,1.57,0.61,15.70%,10.00%,5.70%,0.264,1.55,0.309,47.70%,5.46,5.33,0.13
363,Gregory Quintana,LAF,,44.1,7.71,3.45,2.24,1.22,18.50%,8.30%,10.20%,0.299,1.62,0.35,65.10%,5.89,5.76,0.13
364,Ka'imi Kahalekai,LBSU,,42,9.21,6.21,1.48,1.29,20.00%,13.50%,6.50%,0.269,1.81,0.325,67.40%,6.86,6.73,0.13
365,Garrett Lambert,MER,,65.1,11.02,3.72,2.96,0.83,27.80%,9.40%,18.40%,0.214,1.22,0.29,65.00%,4.55,4.42,0.13
366,Joey Volchko,UGA,21,70.1,11.13,4.86,2.29,0.77,28.00%,12.20%,15.80%,0.24,1.45,0.333,73.30%,4.22,4.11,0.11
367,Cole Selvig,MINN,21,67.1,7.75,3.07,2.52,1.2,19.90%,7.90%,12.00%,0.266,1.38,0.311,66.00%,5.21,5.11,0.11
368,Lucas Boesen,UNCA,,71,8.75,7.23,1.21,0.76,19.90%,16.50%,3.50%,0.27,1.87,0.338,63.80%,6.34,6.23,0.1
369,Trey Ludy,RAD,21,46,9.98,1.37,7.29,0.78,27.40%,3.80%,23.70%,0.236,1.07,0.309,63.10%,3.91,3.81,0.1
370,Harrison Wilson,WIN,22,45.2,7.49,1.58,4.75,0.79,19.30%,4.10%,15.20%,0.282,1.34,0.336,53.20%,4.53,4.44,0.09
371,Lazaro Collera,MIA,20,62.1,9.1,3.9,2.33,1.01,22.80%,9.80%,13.00%,0.238,1.35,0.294,64.90%,5.05,4.97,0.09
372,Nolan Kirsch,MERC,,48,6.94,6.75,1.03,0.75,16.10%,15.70%,0.40%,0.261,1.77,0.306,55.00%,7.69,7.6,0.08
373,Liam Smith,PAC,,43.1,8.72,6.65,1.31,1.66,18.80%,14.30%,4.50%,0.309,2.03,0.366,60.40%,7.89,7.82,0.07
374,Lance Williams,MD,,54,10.67,4.33,2.46,2,24.20%,9.80%,14.40%,0.252,1.54,0.3,65.20%,6.5,6.43,0.07
375,Luke Earnhardt,WIN,,66.2,10.67,5,2.14,0.41,26.40%,12.40%,14.00%,0.233,1.44,0.327,62.50%,4.73,4.66,0.07
376,Joseph Webb,ECU,22,56.2,11.59,3.81,3.04,0.48,30.00%,9.90%,20.20%,0.2,1.16,0.291,60.70%,3.81,3.75,0.06
377,Dylan Mulcahy,SFA,22,49.2,11.05,3.99,2.77,0.91,28.40%,10.20%,18.10%,0.241,1.37,0.328,66.70%,4.53,4.47,0.06
378,Ian Mowad,SJU,,44.1,6.5,4.06,1.6,0.81,14.60%,9.10%,5.50%,0.258,1.58,0.291,63.40%,5.89,5.83,0.06
379,Dylan Vigue,UGA,22,53,11.21,4.92,2.28,0.17,28.70%,12.60%,16.10%,0.198,1.26,0.296,73.70%,3.57,3.51,0.06
380,Max Winders,BUT,20,70.1,7.81,1.54,5.08,0.77,20.90%,4.10%,16.80%,0.256,1.18,0.31,60.60%,4.48,4.42,0.06
381,Dylan Banner,ALB,,77.2,6.95,2.2,3.16,0.23,16.30%,5.20%,11.20%,0.249,1.34,0.297,60.10%,3.94,3.88,0.06
382,Elijah Green,NKU,,55,8.02,5.07,1.58,0.82,18.90%,12.00%,6.90%,0.262,1.62,0.317,62.90%,6.55,6.49,0.06
383,Kide Adetuyi,FAU,20,68.2,10.75,4.06,2.65,0.92,28.20%,10.70%,17.50%,0.225,1.3,0.302,67.70%,4.33,4.27,0.06
384,Trey Beard,FSU,21,64,12.38,3.23,3.83,1.55,31.40%,8.20%,23.20%,0.241,1.3,0.327,66.10%,4.78,4.73,0.05
385,Nathan Aceves,UCSB,,57.2,9.83,3.9,2.52,0.47,25.00%,9.90%,15.10%,0.225,1.28,0.303,64.70%,4.37,4.32,0.05
386,Evan Dempsey,FGCU,20,82.2,12.63,2.61,4.83,0.44,33.70%,7.00%,26.70%,0.206,1.06,0.316,71.40%,3.38,3.33,0.05
387,Anderson Nance,NCSU,20,41.2,11.23,4.1,2.74,0.86,24.50%,9.00%,15.60%,0.236,1.54,0.304,76.20%,4.1,4.06,0.05
388,Cole Gibler,ARK,20,52.2,9.06,3.93,2.3,1.71,22.70%,9.90%,12.90%,0.248,1.41,0.287,67.20%,5.64,5.6,0.04
389,Sam Staerker,CAN,,39.2,11.34,4.54,2.5,0.68,29.40%,11.80%,17.60%,0.2,1.26,0.278,61.10%,4.31,4.27,0.04
390,Chase Richter,ARST,24,47,9.19,2.68,3.43,1.15,23.80%,6.90%,16.80%,0.251,1.28,0.31,65.40%,4.98,4.94,0.03
391,Ashton Johnson,BYU,,47,8.04,3.83,2.1,0.57,18.80%,8.90%,9.80%,0.235,1.45,0.283,67.40%,4.4,4.38,0.03
392,Mason Holloway,BING,,45.2,8.28,2.36,3.5,1.38,20.30%,5.80%,14.50%,0.277,1.42,0.324,67.60%,5.32,5.29,0.03
393,Zach Crotchfelt,TROY,22,44.2,11.69,3.43,3.41,1.21,28.90%,8.50%,20.40%,0.26,1.43,0.35,73.40%,4.63,4.61,0.03
394,Matt Stuart,GWEB,,60.2,4.45,3.71,1.2,0.89,10.60%,8.80%,1.80%,0.313,1.71,0.338,60.00%,6.23,6.2,0.03
395,Andrew Heffernan,BGSU,,60.1,6.27,1.79,3.5,1.19,15.40%,4.40%,11.00%,0.3,1.46,0.335,60.10%,5.97,5.94,0.02
396,Luis Becerra,CBU,,46.1,13.4,3.11,4.31,0.39,35.90%,8.30%,27.60%,0.207,1.1,0.337,72.50%,3.3,3.28,0.02
397,Noel Valdez,UCD,,70.2,7.64,3.18,2.4,0.76,18.90%,7.90%,11.00%,0.33,1.71,0.4,72.20%,4.58,4.57,0.01
398,Enger Paulino,SBU,,51.2,8.01,7.66,1.05,0.52,18.00%,17.20%,0.80%,0.265,1.9,0.329,62.90%,6.27,6.26,0.01
399,Henry Zatkowski,UVA,,74.1,10.65,2.78,3.83,0.97,27.80%,7.30%,20.60%,0.215,1.13,0.282,61.10%,4.12,4.12,0
400,Chase Ingram,UAB,22,63,5.71,2.14,2.67,2.14,13.60%,5.10%,8.50%,0.279,1.46,0.281,63.50%,6.57,6.57,0
401,John Delgado,DAY,,60.2,10.68,5.04,2.12,1.34,26.20%,12.40%,13.80%,0.238,1.48,0.305,62.40%,5.79,5.8,-0.01
402,Huxley Holcombe,COR,,50,8.1,4.68,1.73,0.72,19.70%,11.40%,8.30%,0.238,1.44,0.292,61.50%,5.4,5.41,-0.01
403,Deron Swanson,TOL,23,55,9.49,3.11,3.05,0.65,23.40%,7.70%,15.70%,0.268,1.44,0.346,61.20%,4.75,4.76,-0.02
404,Luke Ridley,WES,,58.1,8.33,6.94,1.2,1.08,18.40%,15.40%,3.10%,0.282,1.94,0.339,67.20%,6.63,6.65,-0.02
405,Daniel Lang,STO,,43,6.28,6.07,1.03,0.84,14.40%,13.90%,0.50%,0.257,1.74,0.29,46.90%,7.33,7.35,-0.02
406,Nathan Taylor,CIN,,81,12.33,2.44,5.05,1,32.20%,6.40%,25.80%,0.233,1.19,0.33,68.20%,3.78,3.8,-0.02
407,Griffin Naess,CP,,73,9.37,3.21,2.92,0.99,23.40%,8.00%,15.40%,0.256,1.38,0.321,69.90%,4.68,4.72,-0.03
408,William Andrade,UNO,,47,8.81,6.7,1.31,1.15,20.20%,15.40%,4.80%,0.267,1.77,0.328,61.60%,6.89,6.93,-0.04
409,Esteban Torres,UMES,,56.2,5.72,7.46,0.77,0.48,12.90%,16.80%,-3.90%,0.259,1.85,0.297,53.70%,7.78,7.82,-0.04
410,Wade Cooper,TXST,,53.1,9.96,3.04,3.28,1.01,24.80%,7.60%,17.20%,0.259,1.39,0.331,60.30%,4.56,4.6,-0.05
411,Brandon Bak,UIC,,77,7.71,2.69,2.87,1.17,19.40%,6.80%,12.60%,0.289,1.48,0.339,65.70%,5.38,5.42,-0.05
412,Kade Walker,JKST,23,46.2,9.84,4.82,2.04,0.77,23.10%,11.30%,11.80%,0.284,1.69,0.37,57.90%,6.17,6.22,-0.05
413,Jacob Heppner,UVU,,59.2,6.03,4.37,1.38,0.45,14.90%,10.80%,4.10%,0.282,1.61,0.328,61.40%,4.98,5.03,-0.05
414,Hunter Elliott,MISS,23,71,12.17,4.31,2.82,1.52,30.10%,10.70%,19.40%,0.247,1.42,0.337,73.30%,5.07,5.12,-0.05
415,Hunter Dietz,ARK,21,78.2,13.39,3.09,4.33,1.03,35.50%,8.20%,27.30%,0.219,1.17,0.327,73.80%,3.32,3.37,-0.05
416,Ridge Harvey,BEL,19,46.2,9.64,2.89,3.33,0.39,24.40%,7.30%,17.10%,0.251,1.31,0.336,61.30%,4.24,4.3,-0.06
417,Wade Walton,HPU,20,70,9,4.63,1.94,0.39,22.10%,11.40%,10.70%,0.254,1.51,0.33,60.90%,4.63,4.69,-0.06
418,Ryne Rodriguez,HOU,,55.1,9.27,3.09,3,0.65,23.80%,7.90%,15.80%,0.241,1.27,0.311,65.40%,4.39,4.45,-0.06
419,Kyle Winkler,UTA,22,44.2,4.03,2.01,2,1.01,10.20%,5.10%,5.10%,0.297,1.46,0.313,52.50%,5.44,5.51,-0.07
420,Chris Domke,OSU,22,64,7.45,2.81,2.65,1.97,16.70%,6.30%,10.40%,0.251,1.45,0.263,64.70%,6.19,6.25,-0.07
421,Mason Blasche,SAM,,67.1,7.49,2.54,2.95,1.87,18.40%,6.20%,12.10%,0.292,1.5,0.322,62.50%,5.88,5.95,-0.07
422,Jake Jones,CARK,,51,7.41,4.41,1.68,0.88,18.00%,10.70%,7.30%,0.266,1.53,0.316,62.50%,5.82,5.9,-0.07
423,Bryan Matuschat,SHU,20,80.1,4.59,2.24,2.05,1.79,10.80%,5.30%,5.60%,0.32,1.67,0.328,60.70%,6.61,6.69,-0.08
424,Austin Bowker,UCSD,,45,4.8,3.6,1.33,1.4,11.30%,8.50%,2.80%,0.287,1.53,0.299,58.50%,7.2,7.28,-0.08
425,Sam Schlecht,SDST,23,64.2,8.63,2.92,2.95,1.53,20.90%,7.10%,13.90%,0.287,1.52,0.338,60.30%,6.12,6.21,-0.09
426,Edwin Alicea,USF,21,72.1,7.47,3.48,2.14,0.87,18.20%,8.50%,9.70%,0.248,1.37,0.292,61.80%,5.23,5.31,-0.09
427,Rafael Capistran,GRAM,23,43,10.67,6.91,1.55,0.84,24.30%,15.70%,8.60%,0.244,1.74,0.325,49.70%,6.7,6.79,-0.09
428,Camden Clark,USM,20,46,14.28,1.37,10.43,0.59,40.30%,3.90%,36.50%,0.199,0.89,0.326,75.40%,2.35,2.44,-0.09
429,Jake Cullen,URI,20,50.1,9.66,6.79,1.42,1.07,22.00%,15.50%,6.50%,0.228,1.65,0.285,60.30%,6.44,6.53,-0.09
430,Noah Kenney,WASH,,77.2,9.85,3.82,2.58,0.93,25.00%,9.70%,15.30%,0.227,1.3,0.29,67.10%,4.4,4.5,-0.09
431,Garrett Grant,FAU,,52.2,7.86,3.42,2.3,1.54,18.30%,8.00%,10.40%,0.313,1.71,0.361,74.60%,5.81,5.9,-0.09
432,Brian Strange,ELON,23,75.1,8.84,3.7,2.39,1.08,21.80%,9.10%,12.60%,0.262,1.46,0.32,55.60%,5.38,5.47,-0.09
433,Reese Bassinger,WVU,23,43.2,10.31,2.68,3.85,0.41,25.90%,6.70%,19.20%,0.217,1.17,0.293,71.40%,3.5,3.6,-0.1
434,Evan Maloney,URI,,42,6.21,3.21,1.93,0.64,15.80%,8.20%,7.70%,0.233,1.26,0.267,61.30%,5.14,5.24,-0.1
435,Maverick Torres,WES,,58,7.29,4.34,1.68,2.17,16.80%,10.00%,6.80%,0.298,1.74,0.321,65.20%,7.45,7.55,-0.1
436,Owen Slater,MOST,,55.2,6.14,5.17,1.19,1.13,13.80%,11.60%,2.20%,0.308,1.83,0.346,65.60%,6.95,7.05,-0.1
437,Lincoln Sheffield,KSU,22,80.2,8.59,2.01,4.28,1.34,21.90%,5.10%,16.80%,0.278,1.35,0.332,64.50%,4.91,5.01,-0.1
438,Tazwell Butler,KSU,23,50.1,9.12,3.58,2.55,1.43,23.00%,9.00%,14.00%,0.231,1.31,0.271,60.60%,5.36,5.47,-0.1
439,Trey Power,ALST,20,52,6.23,4.67,1.33,0.52,14.90%,11.20%,3.70%,0.262,1.56,0.305,56.60%,6.58,6.69,-0.11
440,Cam Allen,WRST,,57.2,8.43,4.37,1.93,1.25,20.60%,10.70%,9.90%,0.261,1.51,0.311,60.90%,6.71,6.82,-0.11
441,Jake Story,UNCO,22,60,7.95,4.35,1.83,1.05,18.00%,9.80%,8.10%,0.258,1.6,0.3,59.70%,6,6.12,-0.12
442,Ethan Foley,CAL,23,54.2,7.08,2.8,2.53,1.32,17.10%,6.80%,10.40%,0.307,1.59,0.35,67.20%,5.27,5.39,-0.12
443,Marty Coyne,PENN,21,70.2,8.41,1.91,4.4,0.89,22.20%,5.10%,17.20%,0.243,1.13,0.299,66.90%,4.58,4.71,-0.12
444,Dillon Masters,OHIO,,53,4.42,4.75,0.93,0.51,10.10%,10.90%,-0.80%,0.259,1.64,0.281,56.60%,5.94,6.07,-0.13
445,Zach Boyd,W&M,,44.1,6.5,4.26,1.52,1.02,15.30%,10.00%,5.30%,0.291,1.67,0.331,64.40%,6.09,6.22,-0.13
446,Chase Deibler,DEL,,44,5.73,5.32,1.08,1.23,13.90%,12.90%,1.00%,0.267,1.64,0.29,63.10%,6.55,6.67,-0.13
447,Nate Gray,BYU,20,58.1,8.64,6.17,1.4,1.39,19.60%,14.00%,5.60%,0.274,1.8,0.326,68.70%,6.48,6.61,-0.13
448,Dylan Volantis,TEX,20,74.2,12.66,2.65,4.77,0.24,34.70%,7.30%,27.40%,0.188,0.99,0.294,79.80%,2.05,2.18,-0.13
449,Colton Hartman,LOU,21,45.2,11.04,6.5,1.7,1.58,24.50%,14.40%,10.00%,0.302,1.99,0.391,71.60%,5.91,6.05,-0.14
450,Luke Parise,JOES,20,64,8.02,2.81,2.85,0.84,19.30%,6.80%,12.50%,0.264,1.39,0.318,65.90%,5.2,5.34,-0.14
451,Shane Brinham,MICH,18,56,8.04,5.14,1.56,0.48,19.70%,12.60%,7.10%,0.252,1.55,0.315,70.30%,4.5,4.64,-0.14
452,Jaden Kinsler,JMU,22,44.1,8.32,3.45,2.41,1.62,21.50%,8.90%,12.60%,0.247,1.33,0.281,63.70%,5.89,6.03,-0.14
453,Bobby Spencer,SOU,25,72.1,9.46,4.23,2.24,0.87,22.80%,10.20%,12.60%,0.269,1.56,0.341,64.10%,5.97,6.12,-0.14
454,Marcus Kruzan,MINN,21,50.1,8.94,2.86,3.13,0.54,22.70%,7.30%,15.50%,0.179,1.03,0.223,63.00%,3.58,3.72,-0.15
455,Tanner Nolan,APP,,48.2,7.58,4.44,1.71,1.66,17.70%,10.30%,7.30%,0.273,1.58,0.306,63.80%,7.03,7.18,-0.15
456,Kenton Deverman,EVAN,21,44,9.41,1.64,5.75,2.05,22.40%,3.90%,18.50%,0.314,1.57,0.37,67.20%,5.93,6.09,-0.16
457,Andrew Rubayo,QUIN,,70,9.13,1.8,5.07,0.26,21.90%,4.30%,17.60%,0.237,1.23,0.303,67.30%,3.34,3.5,-0.16
458,Ethan Hamill,COR,22,48,6.75,4.69,1.44,1.31,16.70%,11.60%,5.10%,0.251,1.46,0.279,63.70%,6.56,6.72,-0.16
459,Sam Carlisle,WMU,22,55,10.47,5.24,2,0.49,25.10%,12.50%,12.50%,0.24,1.53,0.327,68.80%,4.91,5.07,-0.16
460,Trevor Moore,STAN,22,41.1,10.02,4.79,2.09,0.44,26.00%,12.40%,13.60%,0.227,1.38,0.311,74.30%,3.7,3.87,-0.17
461,Grayden Harris,USM,19,78.1,10.69,2.07,5.17,0.34,28.30%,5.50%,22.80%,0.252,1.2,0.354,71.90%,3.1,3.27,-0.17
462,Jackson Thomas,WASH,,52.2,7.18,2.73,2.63,1.2,17.50%,6.70%,10.80%,0.259,1.37,0.293,62.70%,5.13,5.3,-0.17
463,Nathan Mertens,SEMO,,59.1,8.04,0.46,17.67,1.21,21.90%,1.20%,20.70%,0.252,1.04,0.295,64.50%,4.4,4.57,-0.18
464,Ricky Ojeda,UCI,20,61,9,2.8,3.21,0.3,23.30%,7.30%,16.00%,0.216,1.13,0.286,65.20%,3.84,4.01,-0.18
465,Anthony Mateo,AAMU,22,77.1,5.47,3.03,1.81,0.81,13.00%,7.20%,5.80%,0.295,1.58,0.328,59.30%,6.52,6.7,-0.18
466,Jacob Jette,UML,22,50.2,5.51,4.97,1.11,1.95,12.90%,11.60%,1.20%,0.288,1.74,0.295,52.80%,7.46,7.64,-0.18
467,Dax Whitney,ORST,20,63,14.86,2.57,5.78,0.86,41.80%,7.20%,34.50%,0.183,0.95,0.303,85.80%,2,2.18,-0.18
468,Owen Byberg,EVAN,23,43.1,6.65,3.74,1.78,1.45,14.80%,8.30%,6.50%,0.293,1.68,0.322,53.30%,6.85,7.04,-0.18
469,John Carmichael,EMU,,72,8.13,2.38,3.42,1.13,19.90%,5.80%,14.10%,0.297,1.49,0.356,63.60%,5.5,5.69,-0.19
470,Liam Watt,DBU,22,77.1,6.63,1.75,3.8,0.7,17.80%,4.70%,13.10%,0.253,1.18,0.295,67.40%,4.31,4.51,-0.2
471,Bryce Blevins,MRSH,,102,7.59,1.59,4.78,1.15,19.70%,4.10%,15.60%,0.269,1.26,0.312,67.60%,4.59,4.79,-0.2
472,Declan Wywoda,GW,20,67,5.1,2.69,1.9,1.07,12.80%,6.80%,6.10%,0.285,1.45,0.308,62.10%,5.64,5.85,-0.2
473,Wes Mendes,FSU,21,84,11.68,2.46,4.74,0.43,31.80%,6.70%,25.10%,0.195,1,0.285,72.60%,2.68,2.89,-0.21
474,Carter Cox,NIU,,69,9.13,3.65,2.5,0.91,22.00%,8.80%,13.20%,0.267,1.48,0.335,63.70%,5.48,5.69,-0.21
475,Carter Monke,MSU,,68,6.22,1.99,3.13,1.19,15.50%,5.00%,10.60%,0.299,1.46,0.333,69.60%,4.9,5.11,-0.21
476,Adam Merritt,MASS,,52,8.31,4.67,1.78,0.35,19.00%,10.70%,8.30%,0.183,1.29,0.226,57.60%,5.02,5.23,-0.21
477,Carter Burnette,WCU,,75.1,8.24,3.11,2.65,2.15,21.00%,7.90%,13.10%,0.273,1.41,0.301,63.90%,6.33,6.55,-0.21
478,Evan Blanco,TENN,22,73,10.85,2.96,3.67,1.6,26.10%,7.10%,19.00%,0.199,1.16,0.234,69.10%,4.56,4.78,-0.22
479,Jonah Walker,NDSU,22,46.2,6.56,5.4,1.21,0.77,13.70%,11.30%,2.40%,0.242,1.71,0.271,61.70%,6.17,6.4,-0.22
480,Joel Core,STET,21,44.1,8.53,4.87,1.75,0.2,21.40%,12.20%,9.20%,0.237,1.44,0.31,68.60%,4.26,4.5,-0.23
481,Ryan Furey,UNF,,55,5.56,2.29,2.43,0.33,13.70%,5.60%,8.10%,0.304,1.53,0.351,66.90%,4.25,4.49,-0.23
482,Tanner Boccabello,BCU,23,61,7.38,3.1,2.38,0.59,17.60%,7.40%,10.20%,0.307,1.62,0.37,59.60%,5.75,5.99,-0.24
483,Boede Rahe,KU,,45.1,11.51,2.98,3.87,1.19,30.50%,7.90%,22.60%,0.229,1.21,0.306,73.00%,3.97,4.21,-0.24
484,Ryland Bozenhard,USA,,47,6.32,4.79,1.32,1.34,13.90%,10.50%,3.40%,0.328,1.96,0.366,71.00%,6.51,6.75,-0.24
485,Carson Jasa,NEB,21,75.1,12.07,5.38,2.24,0.36,30.40%,13.60%,16.90%,0.206,1.35,0.312,72.40%,3.58,3.83,-0.24
486,Miguel Hugas,MER,,69.1,5.84,2.47,2.37,1.17,14.60%,6.10%,8.40%,0.276,1.36,0.303,64.40%,5.58,5.83,-0.25
487,Chris Downs,CP,20,49.1,9.12,3.47,2.63,0.91,21.60%,8.20%,13.40%,0.278,1.54,0.347,63.60%,4.74,4.99,-0.25
488,Tegan Kuhns,TENN,21,77,11.69,1.75,6.67,1.29,30.90%,4.60%,26.20%,0.25,1.18,0.337,79.40%,3.39,3.64,-0.25
489,Jake Lenahan,HC,,53.1,10.13,3.04,3.33,0.68,25.90%,7.80%,18.10%,0.225,1.22,0.297,57.50%,4.05,4.31,-0.26
490,Max Haug,GW,22,73.2,7.94,4.4,1.81,1.1,18.50%,10.20%,8.20%,0.291,1.67,0.347,65.90%,5.99,6.25,-0.26
491,David Horn,MTSU,22,68.1,10.4,4.74,2.19,0.79,25.00%,11.40%,13.60%,0.269,1.6,0.36,65.70%,4.74,5,-0.26
492,Joseph Sabbath,URI,21,53,8.83,3.91,2.26,1.53,20.40%,9.00%,11.40%,0.26,1.51,0.304,59.70%,6.28,6.55,-0.26
493,Eric Nachtsheim,MCN,,79,13.56,2.39,5.67,1.25,35.80%,6.30%,29.50%,0.221,1.13,0.322,74.70%,3.65,3.91,-0.27
494,Dakoda West,UTU,22,74.2,8.2,3.01,2.72,0.84,20.00%,7.40%,12.60%,0.288,1.51,0.351,69.50%,4.7,4.97,-0.27
495,Aidan King,FLA,20,79.1,9.53,1.82,5.25,0.34,26.60%,5.10%,21.50%,0.197,0.93,0.264,65.50%,2.5,2.77,-0.27
496,Jess Ackerman,MER,,49.2,14.68,5.44,2.7,0.54,37.70%,14.00%,23.70%,0.19,1.29,0.326,77.50%,3.26,3.54,-0.28
497,Drew Harlow,MRSH,,80.1,8.07,3.7,2.18,1.12,19.40%,8.90%,10.50%,0.268,1.51,0.317,65.00%,5.27,5.55,-0.28
498,Will Holmes,CIT,,77.1,11.52,4.77,2.41,0.81,29.90%,12.40%,17.50%,0.201,1.25,0.283,68.20%,4.19,4.47,-0.28
499,Luke Hemric,NCSU,,43.1,8.93,5.19,1.72,1.25,21.80%,12.70%,9.10%,0.192,1.32,0.22,63.40%,5.4,5.69,-0.29
500,Tom Bourque,W&M,21,42.2,8.65,5.91,1.46,0.84,20.70%,14.10%,6.60%,0.198,1.41,0.239,57.70%,5.91,6.2,-0.29
501,Alec Belardes,SDSU,,59.1,8.65,4.85,1.78,0.91,19.50%,11.00%,8.60%,0.26,1.63,0.316,66.90%,6.22,6.51,-0.29
502,Jackson Sanders,AUB,20,58,12.41,3.1,4,0.62,33.20%,8.30%,24.90%,0.219,1.16,0.328,75.70%,2.79,3.08,-0.29
503,Alex Petrovic,AUB,22,71.1,8.96,2.02,4.44,0.63,22.80%,5.10%,17.70%,0.183,0.97,0.225,72.10%,3.15,3.45,-0.29
504,Max Schumacher,UTM,25,70.1,6.14,2.69,2.29,1.66,14.10%,6.20%,7.90%,0.326,1.73,0.353,58.00%,6.27,6.56,-0.29
505,Jackson Bauer,HOF,21,38.1,6.34,1.88,3.38,1.41,15.90%,4.70%,11.20%,0.285,1.38,0.312,63.80%,5.63,5.93,-0.3
506,Serigne Sarre,MSM,,70,11.57,4.24,2.73,0.64,28.30%,10.40%,17.90%,0.245,1.44,0.346,70.60%,4.11,4.41,-0.3
507,David Case,MEM,23,74.2,7.59,3.98,1.91,1.33,18.50%,9.70%,8.80%,0.257,1.49,0.291,58.20%,5.3,5.6,-0.3
508,Ryan Castillo,UNM,,75.2,9.4,3.21,2.93,0.12,25.20%,8.60%,16.60%,0.238,1.24,0.328,64.50%,4.04,4.35,-0.3
509,Zachary Wallace,BAY,20,59.2,6.03,2.11,2.86,1.36,15.30%,5.40%,10.00%,0.292,1.42,0.32,68.10%,5.28,5.58,-0.3
510,Mathis Nayral,KU,,57.1,9.1,3.45,2.64,1.41,20.70%,7.90%,12.90%,0.217,1.34,0.247,60.50%,5.18,5.49,-0.31
511,Landon Mack,TENN,20,61.2,11.24,3.65,3.08,1.61,28.00%,9.10%,18.90%,0.276,1.49,0.361,77.80%,4.67,4.98,-0.31
512,Kole Klecker,ASU,21,57,9.47,2.53,3.75,1.89,24.40%,6.50%,17.90%,0.264,1.33,0.31,67.50%,5.37,5.69,-0.32
513,Avery Laine,LMU,,61.1,4.11,4.26,0.97,2.05,9.50%,9.80%,-0.30%,0.324,1.84,0.323,57.20%,7.92,8.25,-0.32
514,Andreas Alvarez,AUB,20,68.2,12.19,3.15,3.88,1.18,32.10%,8.30%,23.80%,0.238,1.25,0.333,75.30%,3.54,3.86,-0.32
515,Duncan Marsten,WAKE,21,55.1,11.55,3.9,2.96,1.14,30.00%,10.10%,19.80%,0.202,1.17,0.272,72.10%,4.39,4.72,-0.33
516,Kurt Barr,MICH,22,73.2,11.61,5.01,2.32,1.1,29.30%,12.70%,16.70%,0.22,1.38,0.301,75.50%,4.4,4.72,-0.33
517,Brayton Thomas,IU,20,50.2,9.06,5.86,1.55,0.71,19.20%,12.50%,6.80%,0.206,1.52,0.252,71.60%,5.51,5.83,-0.33
518,Evan Chaffee,SJU,,71.1,8.58,3.28,2.62,0.5,21.50%,8.20%,13.20%,0.268,1.43,0.34,67.70%,4.29,4.62,-0.33
519,Jack Kelley,VILL,22,64,7.88,4.36,1.81,1.41,19.50%,10.80%,8.70%,0.239,1.42,0.27,58.50%,6.05,6.38,-0.33
520,Blake Lobell,SELA,,69.1,6.75,2.99,2.26,0.78,17.20%,7.60%,9.60%,0.262,1.37,0.304,64.40%,4.67,5,-0.33
521,Cade McGarrh,ACU,,49,8.45,5.14,1.64,1.84,19.00%,11.60%,7.40%,0.247,1.57,0.275,65.80%,7.35,7.68,-0.33
522,Amp Phillips,SC,21,67.2,9.44,4.79,1.97,1.06,23.80%,12.10%,11.70%,0.231,1.42,0.287,68.00%,4.39,4.72,-0.34
523,Eli Tyndall,VMI,,52,3.81,3.29,1.16,1.56,8.90%,7.70%,1.20%,0.313,1.67,0.317,62.80%,6.58,6.92,-0.34
524,Bryson Moore,FSU,21,55,9.33,3.93,2.38,0.82,21.40%,9.00%,12.40%,0.193,1.27,0.233,68.70%,4.09,4.43,-0.34
