year,decade,team,conf,record,SP+,rank,Off. SP+,rank,Def. SP+,rank,ST SP+,rank,pctile,off_pctile,def_pctile,10yr_avg,5yr_avg
2007,2000s,Central Michigan,MAC,6-Aug,-13.2,89,31.3,47,43.5,108,-1,96,20.70%,59.80%,7.50%,16.60%,20.90%
2008,2000s,Central Michigan,MAC,5-Aug,-6.6,82,26.5,41,33.8,93,0.6,42,32.80%,55.40%,18.00%,17.40%,25.80%
2009,2000s,Central Michigan,MAC,2-Dec,2,55,28.8,47,27,64,0.1,56,55.10%,64.70%,46.30%,21.90%,35.60%
2010,2010s,Central Michigan,MAC,9-Mar,-15.7,98,19.5,95,33,84,-2.2,113,16.60%,18.70%,26.40%,23.20%,33.10%
2011,2010s,Central Michigan,MAC,9-Mar,-22.2,111,18.7,97,40.2,117,-0.7,86,6.90%,17.90%,6.50%,22.80%,26.40%
2012,2010s,Central Michigan,MAC,6-Jul,-14.8,101,23.9,83,38.8,110,0,61,16.40%,28.70%,14.40%,23.20%,25.50%
2013,2010s,Central Michigan,MAC,6-Jun,-19.1,108,16.2,110,34.3,95,-0.9,90,14.00%,11.70%,25.00%,23.80%,21.80%
2014,2010s,Central Michigan,MAC,6-Jul,-12.9,102,22.3,95,34.1,93,-1.1,106,20.50%,25.40%,25.50%,25.20%,14.90%
2015,2010s,Central Michigan,MAC,6-Jul,-6.3,88,21.9,96,25.9,53,-2.3,124,33.80%,24.00%,59.50%,25.70%,18.30%
2016,2010s,Central Michigan,MAC,7-Jun,-13.6,105,22.7,96,34,88,-2.3,124,17.10%,21.40%,28.90%,23.40%,20.40%
2017,2010s,Central Michigan,MAC,5-Aug,-12,101,24.4,84,34.5,100,-1.9,118,21.20%,35.90%,21.50%,23.40%,21.30%
2018,2010s,Central Michigan,MAC,11-Jan,-23.1,123,10,128,32.8,95,-0.3,79,5.50%,1.30%,29.20%,20.70%,19.60%
2019,2010s,Central Michigan,MAC,6-Aug,-11.6,101,23.4,91,33.6,94,-1.4,110,23.20%,30.10%,26.00%,17.50%,20.20%
2020,2020s,Central Michigan,MAC,3-Mar,-6.3,88,29.2,61,35.7,104,0.3,31,31.30%,51.30%,17.70%,19.00%,19.70%
2021,2020s,Central Michigan,MAC,4-Sep,-5.8,85,28.6,57,34.1,106,-0.3,71,34.10%,59.80%,19.80%,21.70%,23.10%
2022,2020s,Central Michigan,MAC,8-Apr,-14.7,111,19,102,32.9,104,-0.8,95,14.90%,19.90%,20.50%,21.60%,21.80%
1919,1910s,Centre,Indies,Sep-00,20.3,5,24.1,3,3.8,17,,,95.80%,98.10%,83.90%,,
1920,1920s,Centre,Indies,2-Aug,27.2,4,33,2,5.8,29,,,95.40%,99.00%,76.00%,,
1921,1920s,Centre,Indies,1-Oct,24,5,26.1,6,2.1,8,,,95.60%,96.90%,90.20%,,
1922,1920s,Centre,Indies,2-Aug,26,6,26,9,0,13,,,93.90%,95.10%,89.30%,,
1923,1920s,Centre,Indies,7.5-1.5,19.8,10,21.3,10,1.5,15,,,91.50%,92.70%,85.40%,,94.50%
1924,1920s,Centre,Indies,5.5-1.5,15.8,11,17.4,17,1.6,6,,,90.10%,86.50%,89.60%,,93.30%
1925,1920s,Centre,Indies,6-Mar,-5.2,81,7.8,71,13,82,,,33.90%,35.20%,35.40%,,81.00%
1926,1920s,Centre,Indies,3-Jan,-13.6,96,5.1,92,18.7,95,,,12.70%,19.30%,11.40%,,64.40%
1928,1920s,Centre,Indies,0-4,-19.9,100,4,95,23.9,97,,,4.90%,12.00%,4.80%,,
1934,1930s,Centre,Indies,3-Jan,-7.9,106,8.6,78,16.5,114,,,22.30%,35.90%,15.60%,,
1935,1930s,Centre,Indies,1.5-7.5,-14.4,124,6.5,101,20.9,129,,,9.00%,25.70%,3.40%,,
1936,1930s,Centre,Indies,0-4,-22.6,135,5.2,110,27.9,137,,,1.30%,16.70%,0.10%,,
1911,1910s,Charleston,Indies,0-5,-22.9,71,-1.6,70,21.3,71,,,2.20%,6.50%,1.20%,,
2015,2010s,Charlotte,C-USA,10-Feb,-27.7,126,13.5,126,39.4,113,-1.7,113,3.30%,4.90%,11.90%,,
2016,2010s,Charlotte,C-USA,8-Apr,-23.6,122,20.1,113,42,121,-1.6,113,4.90%,13.30%,6.80%,,
2017,2010s,Charlotte,C-USA,11-Jan,-29.9,127,7.8,129,35.7,105,-2.1,121,2.20%,0.90%,18.00%,,
2018,2010s,Charlotte,C-USA,7-May,-15.7,108,14.5,124,30.2,79,0,69,13.90%,4.70%,40.10%,,
2019,2010s,Charlotte,C-USA,6-Jul,-11,100,24.6,84,34.4,100,-1.1,104,24.30%,35.40%,23.00%,,9.70%
2020,2020s,Charlotte,C-USA,4-Feb,-13.1,110,23.1,97,36,108,-0.2,95,15.50%,23.40%,16.60%,,12.20%
2021,2020s,Charlotte,C-USA,7-May,-15.5,109,23.9,86,39.4,119,0,67,13.90%,34.50%,7.20%,,13.90%
2022,2020s,Charlotte,C-USA,9-Mar,-25.2,128,19.4,101,43.4,129,-1.2,112,3.70%,21.10%,1.30%,,14.20%
1892,1890s,Chicago,Indies,8.5-4.5,-2.2,15,9.4,20,11.6,12,,,44.00%,33.70%,58.10%,,
1893,1890s,Chicago,Indies,5-Jun,-1.3,17,14.9,17,16.1,15,,,46.70%,47.90%,45.40%,,
1894,1890s,Chicago,Indies,15.5-7.5,7.4,11,12.7,13,5.4,5,,,70.30%,57.00%,81.40%,,
1895,1890s,Chicago,Indies,3-Oct,11,6,16.1,9,5.1,6,,,80.90%,77.60%,82.30%,,
1896,1890s,Chicago,Indies,15.5-2.5,10.7,7,15.2,7,4.5,7,,,82.20%,76.90%,85.60%,,64.80%
1897,1890s,Chicago,Indies,1-Nov,14.9,6,24.1,3,9.2,11,,,86.20%,91.60%,72.00%,,73.20%
1898,1890s,Chicago,Indies,14.5-2.5,15.1,7,19.6,7,4.5,8,,,86.80%,84.00%,87.80%,,81.30%
1899,1890s,Chicago,Indies,17-1,20.8,2,21.2,3,0.4,3,,,96.50%,96.30%,95.40%,,86.50%
1900,1900s,Chicago,Indies,9.5-5.5,4.5,14,11.7,13,7.2,20,,,65.30%,66.50%,61.80%,,83.40%
1901,1900s,Chicago,Indies,7-Sep,-1.6,29,8.4,30,10,26,,,45.00%,37.90%,54.20%,70.40%,76.00%
1902,1900s,Chicago,Indies,14-1,15.4,10,19.7,12,4.3,6,,,89.70%,86.00%,91.30%,75.00%,76.70%
1903,1900s,Chicago,Indies,12.5-2.5,19.1,7,26.8,7,7.7,12,,,92.20%,93.70%,81.20%,79.50%,77.80%
1904,1900s,Chicago,Western,10.5-1.5,40.2,3,39.5,3,-0.7,3,,,98.80%,99.50%,94.40%,82.40%,78.20%
1905,1900s,Chicago,Western,Nov-00,35.6,3,32.4,4,-3.2,2,,,98.30%,98.00%,97.60%,84.10%,84.80%
1906,1900s,Chicago,Western,1-Apr,28.5,1,29.5,1,0.9,5,,,99.20%,99.70%,89.50%,85.80%,95.60%
1907,1900s,Chicago,Western,1-Apr,23.4,1,28.9,1,5.5,8,,,96.80%,99.00%,84.30%,86.90%,97.10%
1908,1900s,Chicago,Western,5.5-0.5,19.6,2,24.6,1,5,16,,,98.30%,99.80%,79.70%,88.00%,98.30%
1909,1900s,Chicago,Western,2-May,13.1,4,20.6,1,7.4,35,,,92.40%,98.10%,62.40%,87.60%,97.00%
1910,1910s,Chicago,Western,5-Feb,-3.2,47,3.8,59,7,28,,,39.80%,17.40%,68.80%,85.10%,85.30%
1911,1910s,Chicago,Western,1-Jun,3.3,33,9.7,29,6.4,37,,,61.40%,61.80%,59.40%,86.70%,77.70%
1912,1910s,Chicago,Western,1-Jun,6,24,14.8,29,8.8,23,,,68.40%,60.50%,74.20%,84.60%,72.10%
1913,1910s,Chicago,Western,Jul-00,15.8,7,21,13,5.2,11,,,87.30%,85.50%,85.60%,84.10%,69.90%
1914,1910s,Chicago,Western,4.5-2.5,12.3,21,14.6,37,2.3,4,,,78.90%,56.90%,91.20%,82.10%,67.20%
1915,1910s,Chicago,Western,2-May,7.3,33,11.6,53,4.3,9,,,67.70%,41.20%,87.40%,79.00%,72.70%
1916,1910s,Chicago,Western,4-Mar,-3.2,66,11.5,62,14.7,61,,,42.90%,40.60%,46.20%,73.40%,69.00%
1917,1910s,Chicago,Western,3.5-2.5,3.3,48,9.9,64,6.6,25,,,57.70%,33.70%,76.80%,69.50%,66.90%
1918,1910s,Chicago,Western,4.5-6.5,-10.7,62,-0.4,72,10.3,34,,,21.20%,6.70%,60.40%,61.80%,53.70%
1919,1910s,Chicago,Western,2-May,6.1,37,9.3,55,3.1,14,,,70.00%,46.70%,86.50%,59.50%,51.90%
1920,1920s,Chicago,Western,4-Mar,6.9,40,6.3,73,-0.6,2,,,66.60%,26.40%,92.60%,62.20%,51.70%
1921,1920s,Chicago,Western,1-Jun,13.5,21,13.2,46,-0.3,2,,,83.10%,57.10%,94.50%,64.40%,59.70%
1922,1920s,Chicago,Western,5.5-1.5,12.6,33,14.7,43,2.1,23,,,77.50%,62.10%,84.80%,65.30%,63.70%
1923,1920s,Chicago,Western,1-Jul,16.1,15,16.7,28,0.6,11,,,86.80%,78.80%,87.60%,65.20%,76.80%
1924,1920s,Chicago,Western,5.5-2.5,10,28,12.7,42,2.7,12,,,79.10%,66.20%,86.00%,65.20%,78.60%
1925,1920s,Chicago,Western,3.5-4.5,0.6,59,6.2,82,5.6,28,,,51.90%,27.60%,76.30%,63.70%,75.70%
1926,1920s,Chicago,Western,6-Feb,-6.6,84,5,94,11.6,69,,,28.80%,18.70%,44.50%,62.30%,64.80%
1927,1920s,Chicago,Western,4-Apr,-3.6,68,4,99,7.6,27,,,37.20%,9.10%,75.50%,60.20%,56.80%
1928,1920s,Chicago,Western,7-Feb,-11.9,87,3.6,96,15.5,77,,,16.20%,10.90%,30.30%,59.70%,42.60%
1929,1920s,Chicago,Western,3-Jul,-3.3,66,7.8,74,11.1,56,,,39.60%,29.10%,55.00%,56.70%,34.80%
1930,1930s,Chicago,Western,6-Mar,-13.7,100,-1,111,12.7,73,,,13.60%,4.60%,40.60%,51.40%,27.10%
1931,1930s,Chicago,Western,2.5-6.5,-11.6,103,4.2,106,15.8,100,,,16.60%,15.70%,23.00%,44.70%,24.60%
1932,1930s,Chicago,Western,3.5-4.5,-5.3,84,6.4,94,11.6,84,,,32.10%,29.00%,37.90%,40.20%,23.60%
1933,1930s,Chicago,Western,4-Apr,5.7,45,10.3,65,4.5,32,,,70.50%,55.80%,78.50%,38.60%,34.50%
1934,1930s,Chicago,Western,4-Apr,3.2,59,15.6,29,12.4,84,,,62.20%,80.20%,38.30%,36.90%,39.00%
1935,1930s,Chicago,Western,4-Apr,-0.7,77,12,54,12.7,96,,,47.50%,59.20%,35.30%,36.40%,45.80%
1936,1930s,Chicago,Western,2.5-5.5,-10.7,118,7.9,95,18.6,124,,,14.80%,30.60%,8.10%,35.00%,45.40%
1937,1930s,Chicago,Western,6-Jan,-17.1,126,2.1,121,19.3,122,,,5.60%,9.00%,7.40%,31.90%,40.10%
1938,1930s,Chicago,Western,1.5-6.5,-19.1,129,7.3,99,26.4,129,,,2.60%,23.30%,0.40%,30.50%,26.60%
1939,1930s,Chicago,Western,6-Feb,-20.1,128,6.6,102,26.7,129,,,1.60%,19.40%,0.30%,26.70%,14.40%
1894,1890s,Chicago A.C.,Indies,4-May,-3.9,17,9.7,19,13.5,18,,,39.00%,41.00%,37.70%,,
1895,1890s,Chicago A.C.,Indies,2-Feb,1.6,14,10.2,15,8.7,13,,,54.90%,47.40%,63.20%,,
1898,1890s,Chicago A.C.,Indies,3-Jan,-6.8,23,6.8,23,13.6,22,,,30.80%,26.50%,38.40%,,
1918,1910s,Chicago Naval Reserve,Indies,Apr-00,7.1,23,16.7,17,9.6,25,,,70.40%,71.00%,64.50%,,
1946,1940s,Cincinnati,Indies,2-Mar,-4.3,76,13.9,73,18.2,76,,,35.80%,39.50%,35.10%,,
1948,1940s,Cincinnati,Indies,0.5-4.5,-13.5,106,8.7,112,22.1,92,,,14.10%,11.20%,26.20%,,
1949,1940s,Cincinnati,Indies,2-Feb,-6.5,86,14,97,20.5,64,,,30.50%,21.10%,45.20%,,
1950,1950s,Cincinnati,Indies,3-Mar,-3.4,80,15,87,18.4,67,,,39.50%,30.90%,50.30%,,
1951,1950s,Cincinnati,Indies,May-00,6.4,36,24,28,17.6,50,,,70.10%,76.90%,58.00%,,
1952,1950s,Cincinnati,Indies,2.5-1.5,4.6,41,18.5,55,13.9,35,,,64.10%,54.50%,70.50%,,43.70%
1953,1950s,Cincinnati,Indies,1-Mar,10.2,21,23,19,12.7,38,,,81.20%,84.80%,71.40%,,57.10%
1954,1950s,Cincinnati,Indies,2-Aug,14.4,14,24.6,15,10.2,22,,,88.00%,85.00%,81.60%,,68.60%
1955,1950s,Cincinnati,Indies,7-Feb,-8.2,88,12.6,73,20.8,88,,,23.60%,32.40%,19.60%,,65.40%
1956,1950s,Cincinnati,Indies,5-Apr,-3.7,74,15.4,63,19.1,73,,,37.00%,43.10%,36.00%,,58.80%
1957,1950s,Cincinnati,MVC,5.5-4.5,-4.6,77,8.1,106,12.8,36,,,32.90%,12.90%,64.80%,48.10%,52.50%
1958,1950s,Cincinnati,MVC,3-Jul,7,32,17.3,46,10.4,29,,,73.20%,60.90%,77.40%,54.00%,51.00%
1959,1950s,Cincinnati,MVC,5.5-4.5,4.1,44,17.7,36,13.6,46,,,64.30%,64.30%,60.40%,57.40%,46.20%
1960,1960s,Cincinnati,MVC,6-Apr,-11,98,9.2,104,20.3,90,,,17.80%,14.60%,25.70%,55.20%,45.10%
1961,1960s,Cincinnati,MVC,7-Mar,-12.9,102,5.4,115,18.3,78,,,13.30%,5.70%,37.00%,49.60%,40.30%
1962,1960s,Cincinnati,MVC,8-Feb,-9.8,101,10.7,98,20.6,94,,,17.70%,17.40%,25.20%,44.90%,37.30%
1963,1960s,Cincinnati,MVC,4-Jun,2.6,52,22.7,13,20.1,89,,,60.20%,91.70%,23.50%,42.80%,34.70%
1964,1960s,Cincinnati,MVC,2-Aug,11.3,16,24.3,6,13,49,,,88.70%,96.10%,63.90%,42.90%,39.60%
1965,1960s,Cincinnati,MVC,5-May,-3.1,74,18.2,50,21.3,98,,,37.20%,58.60%,19.60%,44.30%,43.40%
1966,1960s,Cincinnati,MVC,7-Mar,-7.9,94,15.4,72,23.3,102,,,22.80%,38.10%,18.20%,42.80%,45.30%
1967,1960s,Cincinnati,MVC,6-Mar,-13.2,113,11.2,107,24.4,103,,,9.60%,13.70%,15.30%,40.50%,43.70%
1968,1960s,Cincinnati,MVC,5.5-4.5,-5.8,85,27.7,28,33.5,120,,,31.20%,77.00%,4.90%,36.30%,37.90%
1969,1960s,Cincinnati,MVC,6-Apr,-13.7,106,21.4,63,35.1,123,,,15.80%,47.90%,3.80%,31.40%,23.30%
1970,1970s,Cincinnati,Indies,4-Jul,4.1,50,18.9,76,14.8,23,,,62.10%,39.70%,80.70%,35.90%,28.30%
1971,1970s,Cincinnati,Indies,4-Jul,3,39,19.1,68,16.1,34,,,59.30%,44.40%,73.20%,40.50%,35.60%
1972,1970s,Cincinnati,Indies,9-Feb,-14.8,116,12.3,119,27.1,108,,,11.20%,11.80%,20.50%,39.80%,35.90%
1973,1970s,Cincinnati,Indies,7-Apr,2.5,52,16.1,99,13.6,24,,,57.70%,27.00%,83.30%,39.50%,41.20%
1974,1970s,Cincinnati,Indies,4-Jul,1.9,60,18.9,74,17,51,,,56.10%,45.90%,65.20%,36.30%,49.20%
1975,1970s,Cincinnati,Indies,5-Jun,0,70,19.6,69,19.6,69,,,50.00%,48.60%,51.30%,37.60%,46.80%
1976,1970s,Cincinnati,Indies,3-Aug,7.1,36,18.1,82,11,17,,,73.50%,40.70%,90.60%,42.60%,49.70%
1977,1970s,Cincinnati,Indies,5-Jun,6.4,48,18.9,90,12.5,24,,,70.00%,40.40%,86.40%,48.70%,61.40%
